crimeDate,crimeTime,crimeCode,location,description,weapon,post,district,neighborhood,Location 1,Total Incidents
03/29/2009,2152,1F,1700 MC CULLOH ST,HOMICIDE,FIREARM,132,CENTRAL,Upton,"(39.3058000000, -76.6318600000)",1
03/26/2009,0251,1F,5800 EDGEPARK RD,HOMICIDE,FIREARM,423,NORTHEASTERN,Loch Raven,"(39.3585000000, -76.5757900000)",1
03/26/2009,1641,1F,700 W NORTH AV,HOMICIDE,FIREARM,134,CENTRAL,Reservoir Hill,"(39.3107400000, -76.6286600000)",1
03/23/2009,2000,1F,500 N ELLWOOD AV,HOMICIDE,FIREARM,223,SOUTHEASTERN,Ellwood Park/Monument,"(39.2973200000, -76.5736500000)",1
03/22/2009,0113,1F,600 W PATAPSCO AV,HOMICIDE,FIREARM,923,SOUTHERN,Cherry Hill,"(39.2414200000, -76.6258100000)",1
03/21/2009,2030,1F,2600 MAISEL ST,HOMICIDE,FIREARM,922,SOUTHERN,Westport,"(39.2626200000, -76.6373500000)",1
03/17/2009,2306,1F,2900 GREENMOUNT AV,HOMICIDE,FIREARM,515,NORTHERN,Better Waverly,"(39.3238800000, -76.6093900000)",1
03/17/2009,2306,1F,2900 GREENMOUNT AV,HOMICIDE,FIREARM,515,NORTHERN,Better Waverly,"(39.3238800000, -76.6093900000)",1
03/17/2009,2315,1K,6500 CLEVELAND AV,HOMICIDE,KNIFE,234,SOUTHEASTERN,Saint Helena,"(39.2615200000, -76.5319400000)",1
03/14/2009,2214,1F,1900 N PULASKI ST,HOMICIDE,FIREARM,735,WESTERN,Mondawmin,"(39.3100800000, -76.6513600000)",1
03/13/2009,2309,1F,400 NORMANDY AV,HOMICIDE,FIREARM,822,SOUTHWESTERN,Allendale,"(39.2917800000, -76.6815300000)",1
03/08/2009,2118,1F,3400 E BALTIMORE ST,HOMICIDE,FIREARM,223,SOUTHEASTERN,Baltimore Highlands,"(39.2924700000, -76.5691300000)",1
03/07/2009,0156,1F,800 LINDEN AV,HOMICIDE,FIREARM,143,CENTRAL,Mount Vernon,"(39.2985200000, -76.6208000000)",1
03/06/2009,2139,1F,100 S EATON ST,HOMICIDE,FIREARM,224,SOUTHEASTERN,Baltimore Highlands,"(39.2914000000, -76.5656400000)",1
03/05/2009,0030,1F,1900 W NORTH AV,HOMICIDE,FIREARM,732,WESTERN,Mondawmin,"(39.3098600000, -76.6482900000)",1
03/01/2009,0130,1K,1500 CLIPPER RD,HOMICIDE,KNIFE,533,NORTHERN,Jones Falls Area,"(39.3267700000, -76.6370800000)",1
02/26/2009,1445,1K,700 N ARLINGTON AV,HOMICIDE,KNIFE,714,WESTERN,Harlem Park,"(39.2968600000, -76.6357000000)",1
02/22/2009,0200,1K,3500 EASTERN AV,HOMICIDE,KNIFE,224,SOUTHEASTERN,Highlandtown,"(39.2866100000, -76.5680700000)",1
02/22/2009,2058,1F,2400 LOYOLA NORTHWAY,HOMICIDE,FIREARM,531,NORTHERN,Greenspring,"(39.3388000000, -76.6585400000)",1
02/21/2009,0115,1F,2500 W BALTIMORE ST,HOMICIDE,FIREARM,816,SOUTHWESTERN,Shipley Hill,"(39.2877500000, -76.6567100000)",1
02/16/2009,2216,1K,3900 S HANOVER ST,HOMICIDE,KNIFE,912,SOUTHERN,Brooklyn,"(39.2348700000, -76.6113400000)",1
02/16/2009,2230,1F,5600 SAGRA RD,HOMICIDE,FIREARM,421,NORTHEASTERN,Woodbourne Heights,"(39.3567200000, -76.5926300000)",1
02/14/2009,0143,1F,4500 ERDMAN AV,HOMICIDE,FIREARM,431,NORTHEASTERN,Orchard Ridge,"(39.3096900000, -76.5630600000)",1
02/12/2009,1222,1K,6100 GLENOAK AV,HOMICIDE,KNIFE,425,NORTHEASTERN,Westfield,"(39.3565000000, -76.5496900000)",1
02/11/2009,1200,1F,1700 E 32ND ST,HOMICIDE,FIREARM,414,NORTHEASTERN,Coldstream Homestead Montebello,"(39.3268200000, -76.5918200000)",1
02/10/2009,0700,1O,200 W PATAPSCO AV,HOMICIDE,OTHER,912,SOUTHERN,Brooklyn,"(39.2398600000, -76.6135900000)",1
02/10/2009,2055,1F,2100 PRESBURY ST,HOMICIDE,FIREARM,735,WESTERN,Easterwood,"(39.3077400000, -76.6519300000)",1
02/04/2009,0310,1F,1700 N WASHINGTON ST,HOMICIDE,FIREARM,321,EASTERN,Broadway East,"(39.3100200000, -76.5903200000)",1
02/04/2009,1354,1F,4500 N FRANKLINTOWN RD,HOMICIDE,FIREARM,821,SOUTHWESTERN,Gwynns Falls/Leakin Park,"(39.3039200000, -76.6943600000)",1
02/04/2009,1600,1F,1600 GORSUCH AV,HOMICIDE,FIREARM,411,NORTHEASTERN,Coldstream Homestead Montebello,"(39.3212300000, -76.5947200000)",1
02/01/2009,0615,1K,200 W DICKMAN ST,HOMICIDE,KNIFE,945,SOUTHERN,Spring Garden Industrial Area,"(39.2639800000, -76.6187700000)",1
01/30/2009,1504,1F,2000 EDMONDSON AV,HOMICIDE,FIREARM,723,WESTERN,Midtown-Edmondson,"(39.2951200000, -76.6491600000)",1
01/29/2009,1230,1F,900 POPLAR GROVE ST,HOMICIDE,FIREARM,815,SOUTHWESTERN,Franklintown Road,"(39.2981200000, -76.6651600000)",1
01/28/2009,2259,1F,5900 MORAVIA RD,HOMICIDE,FIREARM,433,NORTHEASTERN,Frankford,"(39.3170300000, -76.5452100000)",1
01/27/2009,2224,1F,3000 WINDSOR AV,HOMICIDE,FIREARM,812,SOUTHWESTERN,Walbrook,"(39.3122500000, -76.6680600000)",1
01/26/2009,0402,1F,200 N BOND ST,HOMICIDE,FIREARM,212,SOUTHEASTERN,Dunbar-Broadway,"(39.2937100000, -76.5959500000)",1
01/25/2009,0146,1F,4400 PALL MALL RD,HOMICIDE,FIREARM,531,NORTHERN,Greenspring,"(39.3393700000, -76.6625600000)",1
01/17/2009,0020,1F,1200 BAYARD ST,HOMICIDE,FIREARM,921,SOUTHERN,Washington Village/Pigtown,"(39.2793100000, -76.6364300000)",1
01/15/2009,2002,1F,5400 JAMESTOWNE CT,HOMICIDE,FIREARM,826,SOUTHWESTERN,Westgate,"(39.2830200000, -76.7084300000)",1
01/09/2009,1531,1F,3600 E LOMBARD ST,HOMICIDE,FIREARM,224,SOUTHEASTERN,Baltimore Highlands,"(39.2914300000, -76.5673200000)",1
01/09/2009,2253,1F,5000 DICKEY HILL RD,HOMICIDE,FIREARM,821,SOUTHWESTERN,Wakefield,"(39.3116400000, -76.7014600000)",1
01/07/2009,1250,1F,1000 N BOND ST,HOMICIDE,FIREARM,322,EASTERN,Gay Street,"(39.3019400000, -76.5964700000)",1
01/06/2009,1445,1K,2800 CLEARVIEW AV,HOMICIDE,KNIFE,424,NORTHEASTERN,North Harford Road,"(39.3714300000, -76.5488500000)",1
01/05/2009,1651,1F,3700 REISTERSTOWN RD,HOMICIDE,FIREARM,612,NORTHWESTERN,Park Circle,"(39.3302700000, -76.6613400000)",1
01/05/2009,1737,1F,800 N KENWOOD AV,HOMICIDE,FIREARM,334,EASTERN,Madison-Eastend,"(39.3001800000, -76.5781800000)",1
01/05/2009,2353,1F,800 WEBB CT,HOMICIDE,FIREARM,315,EASTERN,Oldtown,"(39.3006700000, -76.6043200000)",1
01/04/2009,1949,1F,5600 LOCH RAVEN BLVD,HOMICIDE,FIREARM,421,NORTHEASTERN,Woodbourne Heights,"(39.3574200000, -76.5898100000)",1
01/04/2009,1949,1F,5600 LOCH RAVEN BLVD,HOMICIDE,FIREARM,421,NORTHEASTERN,Woodbourne Heights,"(39.3574200000, -76.5898100000)",1
01/04/2009,2220,1F,4000 CHESMONT AV,HOMICIDE,FIREARM,422,NORTHEASTERN,Waltherson,"(39.3375800000, -76.5561300000)",1
01/02/2009,0450,1F,1100 ORLEANS ST,HOMICIDE,FIREARM,315,EASTERN,Oldtown,"(39.2949600000, -76.6031700000)",1
01/02/2009,0450,1F,1100 ORLEANS ST,HOMICIDE,FIREARM,315,EASTERN,Oldtown,"(39.2949600000, -76.6031700000)",1
01/01/2009,0050,1F,700 N LUZERNE AV,HOMICIDE,FIREARM,325,EASTERN,Milton-Montford,"(39.2992600000, -76.5809400000)",1
